Year,Month,MonthName,Quarter,Region,State,Product,Category,SalespersonID,Target,Actual,Variance,AchievementPct,Status
2023,1,January,Q1,North,Delhi,Product A,FMCG,SP013,578000.0,519400.0,-58600.0,89.9,Missed
2023,1,January,Q1,North,Punjab,Product A,FMCG,SP007,768000.0,943600.0,175600.0,122.9,Achieved
2023,1,January,Q1,North,Haryana,Product A,FMCG,SP006,448000.0,431200.0,-16800.0,96.2,Missed
2023,1,January,Q1,North,UP,Product A,FMCG,SP008,364000.0,407500.0,43500.0,111.9,Achieved
2023,1,January,Q1,North,Delhi,Product B,FMCG,SP025,323000.0,289700.0,-33300.0,89.7,Missed
2023,1,January,Q1,North,Punjab,Product B,FMCG,SP009,880000.0,800500.0,-79500.0,91.0,Missed
2023,1,January,Q1,North,Haryana,Product B,FMCG,SP013,708000.0,731600.0,23600.0,103.3,Achieved
2023,1,January,Q1,North,UP,Product B,FMCG,SP022,855000.0,892500.0,37500.0,104.4,Achieved
2023,1,January,Q1,North,Delhi,Product C,Pharma,SP018,326000.0,294400.0,-31600.0,90.3,Missed
2023,1,January,Q1,North,Punjab,Product C,Pharma,SP020,672000.0,379600.0,-292400.0,56.5,Missed
2023,1,January,Q1,North,Haryana,Product C,Pharma,SP007,614000.0,549500.0,-64500.0,89.5,Missed
2023,1,January,Q1,North,UP,Product C,Pharma,SP024,780000.0,797800.0,17800.0,102.3,Achieved
2023,1,January,Q1,North,Delhi,Product D,Pharma,SP019,436000.0,402700.0,-33300.0,92.4,Missed
2023,1,January,Q1,North,Punjab,Product D,Pharma,SP026,931000.0,920200.0,-10800.0,98.8,Missed
2023,1,January,Q1,North,Haryana,Product D,Pharma,SP012,961000.0,923100.0,-37900.0,96.1,Missed
2023,1,January,Q1,North,UP,Product D,Pharma,SP013,840000.0,592000.0,-248000.0,70.5,Missed
2023,1,January,Q1,North,Delhi,Product E,Industrial,SP007,380000.0,399900.0,19900.0,105.2,Achieved
2023,1,January,Q1,North,Punjab,Product E,Industrial,SP015,821000.0,683900.0,-137100.0,83.3,Missed
